Row Labels,Count of replayFrom,Sum of count,Sum of TotalDelivered,Sum of TotalEvents
1092154,1,2,2,2
1092155,1,2,2,2
1092156,1,2,2,2
1092157,1,2,2,2
1092158,1,2,2,2
1092159,1,2,2,2
1092160,1,2,2,2
1092161,1,2,2,2
1092162,1,2,2,2
1092163,1,2,2,2
1092166,1,2,2,2
1092167,1,2,2,2
1092168,1,2,2,2
1092169,1,2,2,2
1092170,1,2,2,2
1092171,1,2,2,2
1092172,1,2,2,2
1092173,1,2,2,2
1092174,1,2,2,2
1092175,1,2,2,2
1092176,1,2,2,2
1092177,1,2,2,2
1092178,1,2,4,4
1092180,1,2,2,2
1092181,1,2,2,2
1092182,1,2,2,2
1092183,1,2,2,2
1092184,1,2,2,2
1092185,1,2,2,2
1092186,1,2,2,2
1092187,1,2,2,2
1092188,1,2,2,2
1092189,1,2,2,2
1092191,1,2,2,2
1092192,1,2,2,2
1092193,1,2,2,2
1092194,1,2,4,4
1092196,1,2,2,2
1092197,1,2,2,2
1092198,1,2,2,2
1092199,1,2,2,2
1092200,1,2,2,2
1092201,1,2,2,2
1092202,1,2,2,2
1092205,1,2,2,2
1092206,1,2,2,2
1092207,1,2,2,2
1092209,1,2,2,2
1092210,1,2,2,2
1092211,1,2,2,2
1092213,1,2,2,2
1092214,1,2,2,2
1092217,1,2,2,2
1092219,1,2,2,2
1092220,1,2,2,2
1092221,1,2,2,2
1092222,1,2,2,2
1092223,1,2,2,2
1092224,1,2,2,2
1092225,1,2,2,2
1092226,1,2,2,2
1092227,1,2,2,2
1092228,1,2,2,2
1092229,1,2,2,2
1092230,1,2,2,2
1092231,1,2,2,2
1092232,1,2,2,2
1092233,1,2,2,2
1092234,1,2,2,2
1092235,1,2,2,2
1092236,1,2,2,2
1092237,1,2,2,2
1092238,1,2,2,2
1092239,1,2,2,2
1092240,1,2,2,2
1092241,1,2,2,2
1092242,1,2,2,2
1092243,1,2,2,2
1092244,1,2,2,2
1092245,1,2,2,2
1092246,1,2,2,2
1092247,1,2,2,2
1092248,1,2,2,2
1092249,1,2,2,2
1092250,1,2,2,2
1092251,1,2,2,2
1092252,1,2,2,2
1092253,1,2,2,2
1092254,1,2,2,2
1092255,1,2,2,2
1092256,1,2,2,2
1092257,1,2,2,2
1092258,1,2,2,2
1092259,1,2,2,2
1092260,1,2,2,2
1092261,1,2,2,2
1092262,1,2,2,2
1092263,1,2,2,2
Grand Total,1248,8838,50132,50196
