Row Labels,Count of replayFrom,Sum of count,Sum of TotalDelivered,Sum of TotalEvents
1002225,1,2,2,2
1002226,1,2,4,4
1002228,1,2,4,4
1002230,1,2,2,2
1002231,1,2,2,2
1002232,1,2,2,2
1002233,1,2,6,6
1002239,1,2,2,2
1002240,1,2,4,4
1002242,1,2,2,2
1002243,1,2,4,4
1002245,1,2,2,2
1002247,1,2,4,4
1002250,1,2,2,2
1002253,1,2,2,2
1002258,1,2,4,4
1002267,1,2,2,2
1002269,1,2,6,6
1002273,1,2,4,4
1002276,1,2,2,2
1002277,1,2,4,4
1002280,1,2,4,4
1002282,1,2,2,2
1002284,1,2,2,2
1002286,1,2,4,4
1002290,1,2,2,2
1002293,1,2,2,2
1002296,1,2,4,4
1002299,1,2,2,2
1002301,1,2,4,4
1002303,1,2,2,2
1002306,1,2,4,4
1002309,1,2,2,2
1002310,1,2,2,2
1002313,1,2,2,2
1002314,1,2,4,4
1002318,1,2,2,2
1002321,1,2,4,4
1002323,1,2,2,2
1002325,1,2,4,4
1002327,1,2,4,4
1002329,1,2,2,2
1002331,1,2,4,4
1002334,1,2,2,2
1002335,1,2,4,4
1002337,1,2,2,2
1002338,1,2,2,2
1002339,1,2,2,2
1002340,1,2,2,2
1002341,1,2,2,2
1002343,1,2,2,2
1002344,1,2,2,2
1002345,1,2,4,4
1002348,1,2,2,2
1002349,1,2,2,2
1002352,1,2,2,2
1002355,1,2,2,2
1002356,1,2,2,2
1002358,1,2,2,2
1002360,1,2,2,2
1002365,1,2,2,2
1002367,1,2,2,2
1002368,1,2,2,2
1002370,1,2,2,2
1002373,1,2,2,2
1002375,1,2,2,2
1002376,1,2,2,2
1002378,1,2,2,2
1002380,1,2,2,2
1002384,1,2,2,2
1002387,1,2,2,2
1002389,1,2,2,2
1002390,1,2,2,2
1002393,1,2,2,2
1002396,1,2,2,2
1002399,1,2,2,2
1002403,1,2,4,4
1002405,1,2,2,2
1002408,1,2,2,2
1002412,1,2,2,2
1002413,1,2,2,2
1002460,1,2,2,2
1002461,1,2,2,2
1002473,1,2,4,4
1002476,1,2,2,2
1002477,1,2,4,4
1002479,1,2,4,4
1002482,1,2,2,2
1002485,1,2,2,2
1002486,1,2,4,4
1002489,1,2,4,4
1002491,1,2,2,2
1002495,1,2,2,2
1002499,1,2,2,2
1002500,1,2,2,2
1002501,1,2,2,2
1002502,1,2,2,2
1002503,1,2,4,4
1002505,1,2,2,2
1002508,1,2,2,2
1002509,1,2,4,4
1002511,1,2,4,4
1002514,1,2,2,2
1002516,1,2,2,2
1002517,1,2,2,2
1002518,1,2,4,4
1002520,1,2,2,2
1002523,1,2,113,113
1002603,1,2,2,2
1002604,1,2,64,64
1002637,1,2,136,136
1002705,1,2,2,2
1002707,1,2,116,116
1002765,1,2,4,4
1002772,1,2,2,2
1002774,1,2,2,2
1002776,1,2,2,2
1002779,1,2,2,2
1002780,1,2,2,2
1002781,1,2,2,2
1002783,1,2,4,4
1002786,1,2,2,2
1002789,1,2,2,2
1002790,1,2,2,2
1002792,1,2,4,4
1002795,1,2,2,2
1002799,1,2,2,2
1002803,1,2,2,2
1002805,1,2,2,2
1002806,1,2,2,2
1002808,1,2,2,2
1002809,1,2,2,2
1002810,1,2,2,2
1002811,1,2,2,2
1002813,1,2,4,4
1002815,1,2,2,2
1002818,1,2,2,2
1002819,1,2,4,4
1002822,1,2,2,2
1002825,1,2,2,2
1002828,1,2,2,2
1002831,1,2,2,2
1002832,1,2,2,2
1002833,1,2,2,2
1002834,1,2,2,2
1002835,1,2,2,2
1002836,1,2,2,2
1002840,1,2,2,2
1002841,1,2,2,2
1002842,1,2,2,2
1002845,1,2,2,2
1002846,1,2,2,2
1002849,1,2,2,2
1002850,1,2,2,2
1002852,1,2,2,2
1002854,1,2,2,2
1002855,1,2,4,4
1002859,1,2,2,2
1002860,1,2,2,2
1002864,1,2,2,2
1002865,1,2,2,2
1002866,1,2,2,2
1002867,1,2,2,2
1002869,1,2,2,2
1002870,1,2,2,2
1002871,1,2,2,2
1002874,1,2,2,2
1002876,1,2,2,2
1002877,1,2,2,2
1002880,1,2,2,2
1002881,1,2,2,2
1002884,1,2,2,2
1002885,1,2,2,2
1002886,1,2,2,2
1002889,1,2,2,2
1002890,1,2,2,2
1002905,1,2,2,2
1002906,1,2,2,2
1002907,1,2,2,2
1002908,1,2,2,2
1002910,1,2,2,2
1002914,1,2,2,2
1002915,1,2,4,4
1002918,1,2,2,2
1002919,1,2,2,2
1002921,1,2,2,2
1002924,1,2,2,2
1002925,1,2,2,2
1002930,1,2,2,2
1002931,1,2,2,2
1002933,1,2,2,2
1002934,1,2,4,4
1002940,1,2,2,2
1002943,1,2,2,2
1002946,1,2,4,4
1002949,1,2,2,2
1002952,1,2,4,4
1002958,1,2,2,2
1002961,1,3,3,3
1002965,1,2,2,2
1002968,1,2,2,2
1002969,1,2,2,2
1002970,1,2,2,2
1002972,1,2,2,2
1002974,1,2,4,4
1002976,1,2,2,2
1002978,1,2,2,2
1002981,1,2,2,2
1002983,1,2,2,2
1002986,1,2,2,2
1002988,1,2,4,4
1002991,1,2,2,2
1002993,1,2,2,2
1002994,1,2,2,2
1002995,1,2,2,2
1002996,1,2,2,2
1002997,1,2,2,2
1002999,1,2,2,2
1003014,1,2,2,2
1003018,1,2,2,2
1003019,1,2,2,2
1003021,1,2,4,4
1003023,1,2,2,2
1003025,1,2,2,2
1003028,1,2,2,2
1003029,1,2,2,2
1003036,1,2,2,2
1003038,1,3,3,3
1003039,1,3,3,3
1003041,1,2,2,2
1003042,1,2,2,2
1003043,1,3,3,3
1003045,1,2,2,2
1003047,1,2,2,2
1003049,1,2,2,2
1003050,1,2,2,2
1003053,1,2,2,2
1003055,1,2,2,2
1003056,1,2,2,2
1003059,1,2,2,2
1003060,1,2,2,2
1003066,1,2,4,4
1003069,1,2,2,2
1003071,1,2,2,2
1003072,1,2,2,2
1003074,1,2,2,2
1003076,1,2,2,2
1003077,1,2,2,2
1003079,1,2,2,2
1003080,1,2,2,2
1003082,1,2,2,2
1003088,1,2,2,2
1003090,1,2,2,2
1003094,1,2,2,2
1003098,1,2,2,2
1003100,1,2,2,2
1003102,1,2,2,2
1003103,1,2,4,4
1003108,1,2,2,2
1003109,1,2,2,2
1003111,1,2,2,2
1003112,1,2,2,2
1003113,1,2,2,2
1003116,1,2,2,2
1003118,1,2,2,2
1003119,1,3,3,3
1003121,1,2,2,2
1003125,1,5,5,5
1003127,1,7,7,7
1003131,1,13,13,13
1003132,1,13,13,13
1003133,1,13,13,13
1003134,1,13,13,13
1003138,1,13,13,13
1003141,1,13,26,26
1003143,1,13,13,13
1003145,1,12,12,12
1003146,1,7,7,7
1003147,1,14,14,14
1003150,1,19,19,19
1003152,1,23,23,23
1003153,1,4,4,4
1003154,1,27,27,27
1003157,1,27,27,27
1003159,1,27,27,27
1003162,1,27,27,27
1003163,1,27,27,27
1003165,1,37,37,37
1003166,1,11,11,11
1003167,1,48,48,48
1003169,1,48,48,48
1003171,1,48,48,48
1003172,1,47,47,47
1003173,1,42,42,42
1003174,1,89,89,89
1003177,1,83,83,83
1003179,1,33,33,33
1003180,1,4,4,4
1003182,1,123,123,123
1003185,1,98,98,98
1003186,1,227,227,227
1003187,1,227,454,454
1003189,1,226,226,226
1003192,1,290,290,290
1003193,1,309,309,309
1003194,1,309,309,309
1003195,1,453,453,453
1003196,1,454,454,454
1003197,1,153,153,153
1003198,1,117,117,117
1003199,1,63,63,63
1003200,1,196,196,196
1003201,1,228,228,228
1003202,1,224,224,224
1003203,1,79,79,79
1003204,1,71,71,71
1003205,1,4,4,4
1003206,1,78,78,78
1003207,1,79,79,79
1003208,1,81,81,81
1003209,1,81,81,81
1003210,1,15,30,30
1003213,1,15,15,15
1003214,1,15,15,15
1003215,1,15,30,30
1003217,1,15,15,15
1003218,1,15,15,15
1003219,1,11,11,11
1003220,1,11,11,11
1003221,1,11,22,22
1003223,1,9,9,9
1003224,1,9,9,9
1003227,1,9,18,18
1003229,1,9,9,9
1003231,1,9,9,9
1003232,1,7,7,7
1003233,1,7,7,7
1003234,1,7,7,7
1003235,1,7,7,7
1003236,1,6,6,6
1003237,1,7,14,14
1003239,1,7,7,7
1003240,1,7,7,7
1003241,1,7,7,7
1003242,1,7,7,7
1003243,1,7,14,14
1003245,1,3,3,3
1003247,1,3,3,3
1003248,1,3,3,3
1003249,1,3,3,3
1003250,1,3,6,6
1003252,1,3,3,3
1003253,1,3,3,3
1003254,1,3,3,3
1003255,1,2,2,2
1003256,1,2,2,2
1003257,1,2,2,2
1003259,1,2,2,2
1003260,1,2,2,2
1003261,1,2,2,2
1003262,1,2,2,2
1003263,1,2,4,4
1003265,1,2,2,2
1003267,1,2,2,2
1003268,1,2,2,2
1003269,1,2,2,2
1003270,1,2,2,2
1003271,1,2,4,4
1003273,1,2,2,2
1003274,1,2,2,2
1003275,1,3,3,3
1003276,1,3,3,3
1003277,1,2,2,2
1003279,1,2,2,2
1003280,1,2,4,4
1003282,1,2,4,4
1003516,1,4,67,67
1006711,1,10,127,127
1008351,1,4,4,4
/event/OutboundCaseComment__e,10,208,293,293
/event/OutboundEmail__e,40,429,3814,3878
/s/chatter/feeds/feedelement/0D50H00007tJFj7SAG,7,14,16,16
518606,1,2,2,2
518607,1,2,2,2
518608,1,2,2,2
518609,1,2,2,2
518636,1,2,2,2
518637,1,2,2,2
518639,1,2,4,4
/s/chatter/feeds/feedelement/0D50H00007yDoqXSAS,6,12,12,12
519508,1,2,2,2
519510,1,2,2,2
519512,1,2,2,2
519513,1,2,2,2
519514,1,2,2,2
519519,1,2,2,2
/s/chatter/feeds/feedelement/0D50H00007za887SAA,1,2,2,2
518069,1,2,2,2
/s/chatter/feeds/feedelement/0D50H00007zYjQQSA0,2,4,5,5
519149,1,2,2,2
519150,1,2,3,3
/s/chatter/feeds/feedelement/0D50H000080R10iSAC,8,16,16,16
517805,1,2,2,2
517806,1,2,2,2
517807,1,2,2,2
517808,1,2,2,2
517809,1,2,2,2
517810,1,2,2,2
517811,1,2,2,2
517812,1,2,2,2
/s/chatter/feeds/feedelement/0D50H000080R2MgSAK,85,170,173,173
517980,1,2,2,2
517981,1,2,2,2
517982,1,2,2,2
517983,1,2,2,2
517984,1,2,2,2
517986,1,2,2,2
517988,1,2,2,2
517989,1,2,2,2
517991,1,2,2,2
518073,1,2,2,2
518074,1,2,2,2
518075,1,2,2,2
518076,1,2,2,2
518077,1,2,2,2
518078,1,2,2,2
518079,1,2,2,2
518080,1,2,2,2
518081,1,2,2,2
518082,1,2,2,2
518083,1,2,2,2
518084,1,2,2,2
518085,1,2,2,2
518086,1,2,2,2
518087,1,2,2,2
518088,1,2,2,2
518089,1,2,3,3
518107,1,2,2,2
518108,1,2,2,2
518109,1,2,2,2
518110,1,2,2,2
518111,1,2,2,2
518112,1,2,2,2
518113,1,2,2,2
518114,1,2,2,2
518115,1,2,2,2
518116,1,2,2,2
518117,1,2,2,2
518118,1,2,2,2
518119,1,2,2,2
518120,1,2,2,2
518121,1,2,2,2
518122,1,2,2,2
518123,1,2,2,2
518124,1,2,2,2
518125,1,2,2,2
518126,1,2,2,2
518127,1,2,2,2
518128,1,2,2,2
518129,1,2,2,2
518130,1,2,2,2
518131,1,2,2,2
518132,1,2,2,2
518133,1,2,2,2
518134,1,2,2,2
518135,1,2,2,2
518136,1,2,2,2
518137,1,2,3,3
518806,1,2,2,2
518807,1,2,2,2
518815,1,2,2,2
518816,1,2,2,2
518817,1,2,2,2
518818,1,2,2,2
518819,1,2,2,2
518820,1,2,2,2
518822,1,2,2,2
518823,1,2,2,2
518825,1,2,2,2
518827,1,2,2,2
518831,1,2,2,2
518832,1,2,2,2
518833,1,2,2,2
518834,1,2,2,2
518835,1,2,2,2
518836,1,2,2,2
518837,1,2,2,2
518838,1,2,2,2
518839,1,2,2,2
518840,1,2,2,2
518841,1,2,2,2
518843,1,2,2,2
518856,1,2,3,3
518858,1,2,2,2
518859,1,2,2,2
518860,1,2,2,2
/s/chatter/feeds/feedelement/0D50H000080RoPfSAK,6,12,13,13
518711,1,2,2,2
518713,1,2,2,2
518715,1,2,2,2
518719,1,2,2,2
518720,1,2,2,2
518721,1,2,3,3
/s/chatter/feeds/feedelement/0D50H000080RvImSAK,24,48,53,53
518409,1,2,2,2
518410,1,2,2,2
