replayFrom,channelName,TotalDelivered
1018706,/event/OutboundCase__e,8
606332,/s/notifications/notification,4
606346,/s/notifications/notification,4
606353,/s/notifications/notification,4
606445,/s/notifications/notification,4
607122,/s/notifications/notification,4
1000071,/event/OutboundEmail__e,9
1000074,/event/OutboundCaseComment__e,3
1000074,/event/OutboundCase__e,12
1000074,/event/OutboundEmail__e,15
1000093,/event/OutboundCaseComment__e,88
1000093,/event/OutboundCase__e,1248
1000093,/event/OutboundEmail__e,327
1001345,/event/OutboundCase__e,204
1001345,/event/OutboundEmail__e,3
1001430,/event/OutboundCase__e,4404
1001430,/event/OutboundEmail__e,354
1003275,/event/OutboundCase__e,3
1003276,/event/OutboundCase__e,3
1003516,/event/OutboundEmail__e,363
1006602,/event/OutboundEmail__e,294
1017151,/event/OutboundCase__e,3
1017154,/event/OutboundCase__e,6
1017157,/event/OutboundCase__e,3
1017159,/event/OutboundCase__e,6
1017162,/event/OutboundCase__e,3
1017165,/event/OutboundCase__e,12
1017170,/event/OutboundCase__e,6
1017172,/event/OutboundCase__e,3
1017173,/event/OutboundCase__e,3
1017176,/event/OutboundCase__e,3
1017178,/event/OutboundCase__e,3
1017179,/event/OutboundCase__e,3
1017180,/event/OutboundCase__e,3
1017182,/event/OutboundCase__e,3
1017183,/event/OutboundCase__e,3
1017184,/event/OutboundCase__e,3
1017185,/event/OutboundCase__e,3
1017187,/event/OutboundCase__e,3
1017188,/event/OutboundCase__e,6
1017190,/event/OutboundCase__e,3
1017191,/event/OutboundCase__e,9
1017194,/event/OutboundCase__e,9
1017197,/event/OutboundCase__e,3
1017200,/event/OutboundCase__e,3
1017202,/event/OutboundCase__e,3
1017203,/event/OutboundCase__e,3
1017205,/event/OutboundCase__e,3
1017206,/event/OutboundCase__e,3
1017208,/event/OutboundCase__e,6
1017210,/event/OutboundCase__e,6
1017213,/event/OutboundCase__e,3
1017215,/event/OutboundCase__e,3
1017216,/event/OutboundCase__e,3
1017218,/event/OutboundCase__e,3
1017220,/event/OutboundCase__e,6
1017222,/event/OutboundCase__e,3
1017224,/event/OutboundCase__e,3
1017228,/event/OutboundCase__e,6
1017230,/event/OutboundCase__e,3
1017232,/event/OutboundCase__e,3
1017234,/event/OutboundCase__e,3
1017236,/event/OutboundCase__e,3
1017237,/event/OutboundCase__e,3
1017239,/event/OutboundCase__e,3
1017240,/event/OutboundCase__e,6
1017244,/event/OutboundCase__e,3
1017247,/event/OutboundCase__e,3
1017251,/event/OutboundCase__e,3
1017252,/event/OutboundCase__e,6
1017257,/event/OutboundCase__e,3
1017258,/event/OutboundCase__e,3
1017260,/event/OutboundCase__e,3
1017261,/event/OutboundCase__e,3
1017262,/event/OutboundCase__e,3
1017264,/event/OutboundCase__e,3
1017266,/event/OutboundCase__e,3
1017267,/event/OutboundCase__e,3
1017268,/event/OutboundCase__e,3
1017269,/event/OutboundCase__e,3
1017271,/event/OutboundCase__e,3
1017273,/event/OutboundCase__e,3
1017274,/event/OutboundCase__e,3
1017277,/event/OutboundCase__e,3
1017278,/event/OutboundCase__e,6
1017281,/event/OutboundCase__e,3
1017284,/event/OutboundCase__e,3
1017287,/event/OutboundCase__e,3
1017288,/event/OutboundCase__e,3
1017292,/event/OutboundCase__e,3
1017293,/event/OutboundCase__e,3
1017296,/event/OutboundCase__e,3
1017297,/event/OutboundCase__e,3
1017299,/event/OutboundCase__e,3
1017301,/event/OutboundCaseComment__e,3
1017301,/event/OutboundCase__e,3
1017303,/event/OutboundCase__e,3
1017304,/event/OutboundCase__e,3
1017305,/event/OutboundCase__e,3
1017310,/event/OutboundCase__e,3
1017311,/event/OutboundCase__e,6
1017315,/event/OutboundCase__e,3
1017317,/event/OutboundCase__e,3
1017318,/event/OutboundCase__e,3
1017319,/event/OutboundCase__e,3
1017320,/event/OutboundCase__e,6
